complaint_id,filed_on,resolved_on,ward,category,description,status,channel,priority,citizen_age,satisfaction_score,resolution_days,filed_year,filed_month,filed_month_name,filed_week,filed_weekday,filed_date,is_open,verified_category,recency_score,days_open
GRV-1000,2025-01-11,,Ward-09,Public Property,Park benches broken and vandalised,Open,Walk-In,Low,25,,,2025,1,Jan 2025,2,Saturday,2025-01-11,True,Public Property,18.681318681318682,444.0
GRV-1001,2026-01-10,2026-01-31,Ward-18,Public Property,Park benches broken and vandalised,Resolved,Mobile App,Medium,53,3.0,21.0,2026,1,Jan 2026,2,Saturday,2026-01-10,False,Public Property,85.34798534798534,
GRV-1002,2025-08-05,,Ward-08,Water Supply,No water supply for 3 days,Open,WhatsApp,Medium,46,,,2025,8,Aug 2025,32,Tuesday,2025-08-05,True,Water Supply,56.41025641025641,238.0
GRV-1003,2025-07-04,2025-08-02,Ward-18,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Website,Low,46,3.0,29.0,2025,7,Jul 2025,27,Friday,2025-07-04,False,Sewage & Drainage,50.54945054945055,
GRV-1004,2024-11-28,2024-12-26,Ward-01,Sewage & Drainage,Foul smell from open drainage channel,Resolved,Walk-In,Medium,33,3.0,28.0,2024,11,Nov 2024,48,Thursday,2024-11-28,False,Sewage & Drainage,10.622710622710619,
GRV-1005,2025-06-01,,Ward-11,Road & Infrastructure,Broken footpath causing injury to pedestrians,Open,Mobile App,Low,68,,,2025,6,Jun 2025,22,Sunday,2025-06-01,True,Road & Infrastructure,44.505494505494504,303.0
GRV-1006,2025-03-16,2025-03-30,Ward-18,Water Supply,Dirty/contaminated water coming from tap,Resolved,WhatsApp,Low,67,2.0,14.0,2025,3,Mar 2025,11,Sunday,2025-03-16,False,Water Supply,30.402930402930405,
GRV-1007,2025-09-05,,Ward-13,Water Supply,Water pipeline leakage on main road,In Progress,Mobile App,Medium,61,,,2025,9,Sep 2025,36,Friday,2025-09-05,True,Water Supply,62.08791208791209,207.0
GRV-1008,2025-04-24,2025-04-28,Ward-12,Noise & Pollution,Dust from road construction affecting residents,Closed,WhatsApp,Low,19,2.0,4.0,2025,4,Apr 2025,17,Thursday,2025-04-24,False,Road & Infrastructure,37.54578754578755,
GRV-1009,2026-01-20,2026-01-22,Ward-10,Water Supply,No water supply for 3 days,Resolved,Mobile App,High,27,4.0,2.0,2026,1,Jan 2026,4,Tuesday,2026-01-20,False,Water Supply,87.17948717948718,
GRV-1010,2025-07-23,,Ward-15,Noise & Pollution,Construction noise beyond permitted hours,In Progress,Phone Call,Low,64,,,2025,7,Jul 2025,30,Wednesday,2025-07-23,True,Road & Infrastructure,54.029304029304036,251.0
GRV-1011,2025-05-05,2025-05-14,Ward-03,Road & Infrastructure,Road completely waterlogged after rain,Resolved,WhatsApp,Medium,46,1.0,9.0,2025,5,May 2025,19,Monday,2025-05-05,False,Water Supply,39.56043956043956,
GRV-1012,2026-03-05,,Ward-13,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Phone Call,Critical,46,,,2026,3,Mar 2026,10,Thursday,2026-03-05,True,Sewage & Drainage,95.23809523809523,26.0
GRV-1013,2025-10-27,,Ward-11,Public Property,Encroachment on footpath by shop owners,Open,Mobile App,Low,22,,,2025,10,Oct 2025,44,Monday,2025-10-27,True,Road & Infrastructure,71.6117216117216,155.0
GRV-1014,2024-11-10,,Ward-03,Water Supply,Dirty/contaminated water coming from tap,In Progress,Walk-In,Critical,29,,,2024,11,Nov 2024,45,Sunday,2024-11-10,True,Water Supply,7.326007326007322,506.0
GRV-1015,2025-01-07,,Ward-16,Sewage & Drainage,Foul smell from open drainage channel,Open,Website,High,52,,,2025,1,Jan 2025,2,Tuesday,2025-01-07,True,Sewage & Drainage,17.948717948717952,448.0
GRV-1016,2026-01-05,,Ward-05,Public Property,Stray dogs attacking residents near park,Open,Walk-In,High,72,,,2026,1,Jan 2026,2,Monday,2026-01-05,True,Public Property,84.43223443223444,85.0
GRV-1017,2025-10-28,2025-11-25,Ward-14,Sewage & Drainage,Foul smell from open drainage channel,Resolved,WhatsApp,Medium,30,1.0,28.0,2025,10,Oct 2025,44,Tuesday,2025-10-28,False,Sewage & Drainage,71.7948717948718,
GRV-1018,2025-01-04,,Ward-03,Waste Management,Overflowing dustbin near bus stop,In Progress,Mobile App,High,56,,,2025,1,Jan 2025,1,Saturday,2025-01-04,True,Waste Management,17.399267399267405,451.0
GRV-1019,2026-03-25,2026-04-21,Ward-14,Waste Management,Overflowing dustbin near bus stop,Resolved,WhatsApp,Low,68,2.0,27.0,2026,3,Mar 2026,13,Wednesday,2026-03-25,False,Waste Management,98.9010989010989,
GRV-1020,2024-10-28,,Ward-17,Street Lighting,Broken street light reported multiple times,Rejected,Phone Call,Critical,28,,,2024,10,Oct 2024,44,Monday,2024-10-28,False,Street Lighting,4.94505494505495,
GRV-1021,2026-01-16,2026-02-10,Ward-04,Noise & Pollution,Construction noise beyond permitted hours,Resolved,WhatsApp,High,44,4.0,25.0,2026,1,Jan 2026,3,Friday,2026-01-16,False,Road & Infrastructure,86.44688644688645,
GRV-1022,2025-06-16,,Ward-18,Noise & Pollution,Burning of garbage creating air pollution,Open,Website,Low,26,,,2025,6,Jun 2025,25,Monday,2025-06-16,True,Waste Management,47.25274725274725,288.0
GRV-1023,2025-05-22,,Ward-06,Water Supply,Dirty/contaminated water coming from tap,Rejected,WhatsApp,Critical,71,,,2025,5,May 2025,21,Thursday,2025-05-22,False,Water Supply,42.67399267399268,
GRV-1024,2025-01-21,2025-02-02,Ward-17,Noise & Pollution,Burning of garbage creating air pollution,Resolved,WhatsApp,Low,56,1.0,12.0,2025,1,Jan 2025,4,Tuesday,2025-01-21,False,Waste Management,20.512820512820518,
GRV-1025,2024-12-20,,Ward-17,Road & Infrastructure,Road completely waterlogged after rain,In Progress,Mobile App,Medium,46,,,2024,12,Dec 2024,51,Friday,2024-12-20,True,Water Supply,14.652014652014655,466.0
GRV-1026,2025-05-13,,Ward-12,Street Lighting,Street lights not working for 2 weeks,Open,Phone Call,Low,70,,,2025,5,May 2025,20,Tuesday,2025-05-13,True,Street Lighting,41.02564102564102,322.0
GRV-1027,2025-12-13,2025-12-19,Ward-03,Waste Management,Garbage truck does not come on schedule,Closed,Website,High,41,2.0,6.0,2025,12,Dec 2025,50,Saturday,2025-12-13,False,Waste Management,80.21978021978022,
GRV-1028,2025-04-16,2025-05-02,Ward-05,Noise & Pollution,Dust from road construction affecting residents,Resolved,Website,Critical,50,3.0,16.0,2025,4,Apr 2025,16,Wednesday,2025-04-16,False,Road & Infrastructure,36.08058608058609,
GRV-1029,2025-08-22,,Ward-20,Waste Management,Illegal dumping of waste on street,In Progress,Website,Critical,46,,,2025,8,Aug 2025,34,Friday,2025-08-22,True,Waste Management,59.523809523809526,221.0
GRV-1030,2026-02-23,2026-03-15,Ward-13,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Phone Call,Medium,58,2.0,20.0,2026,2,Feb 2026,9,Monday,2026-02-23,False,Sewage & Drainage,93.4065934065934,
GRV-1031,2026-01-16,,Ward-08,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Mobile App,Medium,59,,,2026,1,Jan 2026,3,Friday,2026-01-16,True,Sewage & Drainage,86.44688644688645,74.0
GRV-1032,2025-02-21,,Ward-08,Sewage & Drainage,Sewage mixing with drinking water pipeline,Open,Mobile App,Low,66,,,2025,2,Feb 2025,8,Friday,2025-02-21,True,Water Supply,26.190476190476186,403.0
GRV-1033,2025-12-27,,Ward-02,Public Property,Park benches broken and vandalised,Open,Phone Call,Low,26,,,2025,12,Dec 2025,52,Saturday,2025-12-27,True,Public Property,82.78388278388277,94.0
GRV-1034,2025-04-26,2025-05-20,Ward-07,Waste Management,Illegal dumping of waste on street,Resolved,WhatsApp,Low,50,3.0,24.0,2025,4,Apr 2025,17,Saturday,2025-04-26,False,Waste Management,37.91208791208791,
GRV-1035,2025-11-24,,Ward-16,Sewage & Drainage,Sewage mixing with drinking water pipeline,In Progress,Website,Low,52,,,2025,11,Nov 2025,48,Monday,2025-11-24,True,Water Supply,76.73992673992673,127.0
GRV-1036,2025-01-07,,Ward-14,Water Supply,Water pipeline leakage on main road,In Progress,Website,High,63,,,2025,1,Jan 2025,2,Tuesday,2025-01-07,True,Water Supply,17.948717948717952,448.0
GRV-1037,2025-03-10,,Ward-18,Water Supply,No water supply for 3 days,Open,Phone Call,High,65,,,2025,3,Mar 2025,11,Monday,2025-03-10,True,Water Supply,29.3040293040293,386.0
GRV-1038,2025-11-05,,Ward-18,Water Supply,Low water pressure in pipes,Open,Website,Low,68,,,2025,11,Nov 2025,45,Wednesday,2025-11-05,True,Water Supply,73.26007326007327,146.0
GRV-1039,2025-12-12,,Ward-03,Waste Management,Illegal dumping of waste on street,In Progress,Website,High,38,,,2025,12,Dec 2025,50,Friday,2025-12-12,True,Waste Management,80.03663003663004,109.0
GRV-1040,2026-01-24,,Ward-18,Noise & Pollution,Dust from road construction affecting residents,Open,Mobile App,Critical,36,,,2026,1,Jan 2026,4,Saturday,2026-01-24,True,Road & Infrastructure,87.91208791208791,66.0
GRV-1041,2026-02-24,,Ward-16,Noise & Pollution,Factory emitting foul-smelling smoke,Open,Website,Low,46,,,2026,2,Feb 2026,9,Tuesday,2026-02-24,True,Noise & Pollution,93.58974358974359,35.0
GRV-1042,2024-11-06,,Ward-01,Street Lighting,Street lights not working for 2 weeks,Open,Website,Low,70,,,2024,11,Nov 2024,45,Wednesday,2024-11-06,True,Street Lighting,6.593406593406592,510.0
GRV-1043,2025-01-24,,Ward-18,Noise & Pollution,Loud music from nearby event venue,Open,Website,Low,40,,,2025,1,Jan 2025,4,Friday,2025-01-24,True,Other,21.062271062271066,431.0
GRV-1044,2025-02-05,,Ward-19,Road & Infrastructure,Road completely waterlogged after rain,Rejected,WhatsApp,Low,71,,,2025,2,Feb 2025,6,Wednesday,2025-02-05,False,Water Supply,23.260073260073256,
GRV-1045,2025-07-15,,Ward-16,Road & Infrastructure,Large pothole causing accidents on highway,Open,WhatsApp,Critical,44,,,2025,7,Jul 2025,29,Tuesday,2025-07-15,True,Road & Infrastructure,52.56410256410257,259.0
GRV-1046,2025-01-12,,Ward-17,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Mobile App,High,65,,,2025,1,Jan 2025,2,Sunday,2025-01-12,True,Sewage & Drainage,18.864468864468865,443.0
GRV-1047,2026-03-22,,Ward-08,Water Supply,Water meter not working properly,Open,Website,Low,46,,,2026,3,Mar 2026,12,Sunday,2026-03-22,True,Water Supply,98.35164835164835,9.0
GRV-1048,2024-11-05,,Ward-02,Sewage & Drainage,Blocked drain causing flooding in colony,In Progress,WhatsApp,Low,63,,,2024,11,Nov 2024,45,Tuesday,2024-11-05,True,Sewage & Drainage,6.41025641025641,511.0
GRV-1049,2026-01-14,,Ward-18,Public Property,Encroachment on footpath by shop owners,In Progress,Phone Call,Critical,49,,,2026,1,Jan 2026,3,Wednesday,2026-01-14,True,Road & Infrastructure,86.08058608058609,76.0
GRV-1050,2025-04-08,,Ward-13,Waste Management,Illegal dumping of waste on street,Open,Walk-In,Medium,39,,,2025,4,Apr 2025,15,Tuesday,2025-04-08,True,Waste Management,34.61538461538461,357.0
GRV-1051,2024-11-23,,Ward-03,Road & Infrastructure,Speed breaker removed without notice,Open,Mobile App,Medium,25,,,2024,11,Nov 2024,47,Saturday,2024-11-23,True,Other,9.706959706959706,493.0
GRV-1052,2024-10-05,,Ward-07,Sewage & Drainage,Sewage overflowing onto road,Open,WhatsApp,Low,49,,,2024,10,Oct 2024,40,Saturday,2024-10-05,True,Road & Infrastructure,0.73260073260073,542.0
GRV-1053,2025-06-26,2025-07-15,Ward-12,Road & Infrastructure,Large pothole causing accidents on highway,Closed,Phone Call,Low,34,3.0,19.0,2025,6,Jun 2025,26,Thursday,2025-06-26,False,Road & Infrastructure,49.08424908424909,
GRV-1054,2024-11-27,2024-12-18,Ward-20,Noise & Pollution,Dust from road construction affecting residents,Resolved,Unknown,Critical,40,4.0,21.0,2024,11,Nov 2024,48,Wednesday,2024-11-27,False,Road & Infrastructure,10.439560439560436,
GRV-1055,2024-11-27,,Ward-18,Noise & Pollution,Dust from road construction affecting residents,Open,Phone Call,Critical,49,,,2024,11,Nov 2024,48,Wednesday,2024-11-27,True,Road & Infrastructure,10.439560439560436,489.0
GRV-1056,2026-01-31,,Ward-04,Water Supply,Low water pressure in pipes,Open,WhatsApp,Low,56,,,2026,1,Jan 2026,5,Saturday,2026-01-31,True,Water Supply,89.19413919413918,59.0
GRV-1057,2025-06-04,,Ward-18,Road & Infrastructure,Road construction debris not cleared,Open,Phone Call,Low,68,,,2025,6,Jun 2025,23,Wednesday,2025-06-04,True,Road & Infrastructure,45.05494505494505,300.0
GRV-1058,2025-07-12,,Ward-09,Public Property,Tree fallen on parked vehicles,In Progress,Mobile App,Low,66,,,2025,7,Jul 2025,28,Saturday,2025-07-12,True,Public Property,52.01465201465201,262.0
GRV-1059,2025-12-27,,Ward-11,Street Lighting,Electric pole fallen on road – dangerous,Open,Walk-In,Medium,65,,,2025,12,Dec 2025,52,Saturday,2025-12-27,True,Road & Infrastructure,82.78388278388277,94.0
GRV-1060,2025-07-16,2025-08-11,Ward-18,Road & Infrastructure,Road completely waterlogged after rain,Resolved,Website,Medium,27,4.0,26.0,2025,7,Jul 2025,29,Wednesday,2025-07-16,False,Water Supply,52.74725274725275,
GRV-1061,2025-03-29,2025-04-24,Ward-05,Water Supply,No water supply for 3 days,Closed,WhatsApp,Low,49,5.0,26.0,2025,3,Mar 2025,13,Saturday,2025-03-29,False,Water Supply,32.78388278388278,
GRV-1062,2026-02-28,,Ward-14,Road & Infrastructure,Road construction debris not cleared,In Progress,Walk-In,Low,46,,,2026,2,Feb 2026,9,Saturday,2026-02-28,True,Road & Infrastructure,94.32234432234432,31.0
GRV-1063,2025-10-15,2025-10-26,Ward-07,Road & Infrastructure,Large pothole causing accidents on highway,Closed,Walk-In,Medium,54,1.0,11.0,2025,10,Oct 2025,42,Wednesday,2025-10-15,False,Road & Infrastructure,69.41391941391942,
GRV-1064,2025-11-21,2025-12-20,Ward-14,Road & Infrastructure,Road construction debris not cleared,Closed,WhatsApp,High,30,2.0,29.0,2025,11,Nov 2025,47,Friday,2025-11-21,False,Road & Infrastructure,76.19047619047619,
GRV-1065,2025-06-10,,Ward-06,Waste Management,Overflowing dustbin near bus stop,Rejected,Website,Low,34,,,2025,6,Jun 2025,24,Tuesday,2025-06-10,False,Waste Management,46.15384615384615,
GRV-1066,2025-11-22,2025-12-18,Ward-14,Public Property,Tree fallen on parked vehicles,Resolved,Walk-In,Low,70,3.0,26.0,2025,11,Nov 2025,47,Saturday,2025-11-22,False,Public Property,76.37362637362637,
GRV-1067,2025-11-17,,Ward-18,Noise & Pollution,Construction noise beyond permitted hours,In Progress,Mobile App,High,74,,,2025,11,Nov 2025,47,Monday,2025-11-17,True,Road & Infrastructure,75.45787545787546,134.0
GRV-1068,2025-12-31,2026-01-03,Ward-15,Waste Management,Overflowing dustbin near bus stop,Resolved,Phone Call,Medium,65,1.0,3.0,2025,12,Dec 2025,1,Wednesday,2025-12-31,False,Waste Management,83.51648351648352,
GRV-1069,2025-01-04,,Ward-07,Noise & Pollution,Factory emitting foul-smelling smoke,Open,Website,Medium,54,,,2025,1,Jan 2025,1,Saturday,2025-01-04,True,Noise & Pollution,17.399267399267405,451.0
GRV-1070,2025-07-06,,Ward-09,Noise & Pollution,Construction noise beyond permitted hours,Rejected,Phone Call,Medium,34,,,2025,7,Jul 2025,27,Sunday,2025-07-06,False,Road & Infrastructure,50.91575091575091,
GRV-1071,2025-09-07,,Ward-01,Street Lighting,Broken street light reported multiple times,Open,Mobile App,High,46,,,2025,9,Sep 2025,36,Sunday,2025-09-07,True,Street Lighting,62.45421245421245,205.0
GRV-1072,2024-12-15,,Ward-09,Road & Infrastructure,Road completely waterlogged after rain,In Progress,Mobile App,Low,48,,,2024,12,Dec 2024,50,Sunday,2024-12-15,True,Water Supply,13.736263736263732,471.0
GRV-1073,2026-02-18,2026-02-21,Ward-11,Street Lighting,Electric pole fallen on road – dangerous,Resolved,Website,Medium,29,3.0,3.0,2026,2,Feb 2026,8,Wednesday,2026-02-18,False,Road & Infrastructure,92.4908424908425,
GRV-1074,2026-01-12,,Ward-19,Sewage & Drainage,Sewage overflowing onto road,In Progress,Walk-In,Low,74,,,2026,1,Jan 2026,3,Monday,2026-01-12,True,Road & Infrastructure,85.71428571428572,78.0
GRV-1075,2024-11-11,,Ward-18,Public Property,Stray dogs attacking residents near park,Open,Walk-In,Medium,22,,,2024,11,Nov 2024,46,Monday,2024-11-11,True,Public Property,7.509157509157505,505.0
GRV-1076,2025-05-23,2025-06-01,Ward-04,Water Supply,Dirty/contaminated water coming from tap,Resolved,Phone Call,Medium,27,1.0,9.0,2025,5,May 2025,21,Friday,2025-05-23,False,Water Supply,42.85714285714286,
GRV-1077,2025-06-10,,Ward-10,Public Property,Stray dogs attacking residents near park,Open,WhatsApp,Low,46,,,2025,6,Jun 2025,24,Tuesday,2025-06-10,True,Public Property,46.15384615384615,294.0
GRV-1078,2025-04-12,2025-05-01,Ward-06,Street Lighting,Short circuit sparks from street light,Resolved,WhatsApp,Medium,25,1.0,19.0,2025,4,Apr 2025,15,Saturday,2025-04-12,False,Street Lighting,35.34798534798534,
GRV-1079,2025-09-07,2025-10-02,Ward-10,Street Lighting,Broken street light reported multiple times,Resolved,Phone Call,Low,62,4.0,25.0,2025,9,Sep 2025,36,Sunday,2025-09-07,False,Street Lighting,62.45421245421245,
GRV-1080,2025-11-19,2025-11-26,Ward-11,Noise & Pollution,Dust from road construction affecting residents,Resolved,Website,Medium,44,3.0,7.0,2025,11,Nov 2025,47,Wednesday,2025-11-19,False,Road & Infrastructure,75.82417582417582,
GRV-1081,2024-11-08,,Ward-06,Public Property,Public toilet locked / not accessible,In Progress,Mobile App,Low,67,,,2024,11,Nov 2024,45,Friday,2024-11-08,True,Public Property,6.959706959706957,508.0
GRV-1082,2026-01-19,,Ward-08,Public Property,Encroachment on footpath by shop owners,Open,Phone Call,Low,56,,,2026,1,Jan 2026,4,Monday,2026-01-19,True,Road & Infrastructure,86.99633699633699,71.0
GRV-1083,2025-09-13,,Ward-08,Waste Management,Overflowing dustbin near bus stop,Open,Website,Medium,46,,,2025,9,Sep 2025,37,Saturday,2025-09-13,True,Waste Management,63.55311355311355,199.0
GRV-1084,2025-01-25,,Ward-19,Noise & Pollution,Construction noise beyond permitted hours,In Progress,Unknown,Low,49,,,2025,1,Jan 2025,4,Saturday,2025-01-25,True,Road & Infrastructure,21.245421245421248,430.0
GRV-1085,2024-12-19,,Ward-08,Public Property,Stray dogs attacking residents near park,In Progress,Walk-In,Medium,54,,,2024,12,Dec 2024,51,Thursday,2024-12-19,True,Public Property,14.468864468864473,467.0
GRV-1086,2026-03-16,2026-04-02,Ward-08,Water Supply,No water supply for 3 days,Resolved,Walk-In,High,31,1.0,17.0,2026,3,Mar 2026,12,Monday,2026-03-16,False,Water Supply,97.25274725274726,
GRV-1087,2025-10-08,,Ward-18,Public Property,Encroachment on footpath by shop owners,In Progress,Walk-In,Critical,46,,,2025,10,Oct 2025,41,Wednesday,2025-10-08,True,Road & Infrastructure,68.13186813186813,174.0
GRV-1088,2025-08-26,,Ward-15,Water Supply,Water pipeline leakage on main road,Open,WhatsApp,Critical,29,,,2025,8,Aug 2025,35,Tuesday,2025-08-26,True,Water Supply,60.25641025641026,217.0
GRV-1089,2024-10-08,,Ward-15,Sewage & Drainage,Foul smell from open drainage channel,Rejected,WhatsApp,High,25,,,2024,10,Oct 2024,41,Tuesday,2024-10-08,False,Sewage & Drainage,1.2820512820512775,
GRV-1090,2026-03-24,2026-04-20,Ward-18,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,Website,High,46,1.0,27.0,2026,3,Mar 2026,13,Tuesday,2026-03-24,False,Sewage & Drainage,98.71794871794873,
GRV-1091,2026-01-04,,Ward-08,Public Property,Stray dogs attacking residents near park,In Progress,Phone Call,High,46,,,2026,1,Jan 2026,1,Sunday,2026-01-04,True,Public Property,84.24908424908425,86.0
GRV-1092,2025-06-13,2025-06-23,Ward-09,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,Website,Low,73,3.0,10.0,2025,6,Jun 2025,24,Friday,2025-06-13,False,Sewage & Drainage,46.7032967032967,
GRV-1093,2024-10-05,,Ward-18,Road & Infrastructure,Road completely waterlogged after rain,Open,Phone Call,High,18,,,2024,10,Oct 2024,40,Saturday,2024-10-05,True,Water Supply,0.73260073260073,542.0
GRV-1094,2025-07-09,,Ward-13,Water Supply,Low water pressure in pipes,Open,Walk-In,High,44,,,2025,7,Jul 2025,28,Wednesday,2025-07-09,True,Water Supply,51.46520146520146,265.0
GRV-1095,2025-01-13,,Ward-18,Water Supply,Water pipeline leakage on main road,In Progress,Website,Medium,46,,,2025,1,Jan 2025,3,Monday,2025-01-13,True,Water Supply,19.047619047619047,442.0
GRV-1096,2025-12-11,,Ward-19,Waste Management,No waste bins available in the area,In Progress,Mobile App,High,27,,,2025,12,Dec 2025,50,Thursday,2025-12-11,True,Waste Management,79.85347985347985,110.0
GRV-1097,2024-12-24,,Ward-01,Noise & Pollution,Dust from road construction affecting residents,In Progress,Phone Call,Low,68,,,2024,12,Dec 2024,52,Tuesday,2024-12-24,True,Road & Infrastructure,15.384615384615385,462.0
GRV-1098,2025-12-20,,Ward-18,Street Lighting,Short circuit sparks from street light,In Progress,WhatsApp,High,51,,,2025,12,Dec 2025,51,Saturday,2025-12-20,True,Street Lighting,81.5018315018315,101.0
GRV-1099,2025-06-07,,Ward-16,Street Lighting,Frequent power fluctuation in area,Open,Mobile App,Medium,67,,,2025,6,Jun 2025,23,Saturday,2025-06-07,True,Street Lighting,45.604395604395606,297.0
GRV-1100,2025-10-24,2025-11-10,Ward-15,Public Property,Stray dogs attacking residents near park,Resolved,Walk-In,Critical,65,5.0,17.0,2025,10,Oct 2025,43,Friday,2025-10-24,False,Public Property,71.06227106227105,
GRV-1101,2024-12-14,2025-01-11,Ward-19,Sewage & Drainage,Sewage overflowing onto road,Closed,WhatsApp,Medium,51,2.0,28.0,2024,12,Dec 2024,50,Saturday,2024-12-14,False,Road & Infrastructure,13.55311355311355,
GRV-1102,2025-08-31,,Ward-15,Water Supply,Water pipeline leakage on main road,Open,Walk-In,Low,69,,,2025,8,Aug 2025,35,Sunday,2025-08-31,True,Water Supply,61.172161172161175,212.0
GRV-1103,2025-08-31,,Ward-11,Street Lighting,Electric pole fallen on road – dangerous,Open,Phone Call,High,68,,,2025,8,Aug 2025,35,Sunday,2025-08-31,True,Road & Infrastructure,61.172161172161175,212.0
GRV-1104,2025-02-15,2025-03-15,Ward-14,Street Lighting,Electric pole fallen on road – dangerous,Resolved,Phone Call,High,37,2.0,28.0,2025,2,Feb 2025,7,Saturday,2025-02-15,False,Road & Infrastructure,25.09157509157509,
GRV-1105,2024-11-22,2024-12-03,Ward-02,Street Lighting,Street lights not working for 2 weeks,Resolved,Phone Call,Low,65,1.0,11.0,2024,11,Nov 2024,47,Friday,2024-11-22,False,Street Lighting,9.523809523809524,
GRV-1106,2025-04-01,2025-04-17,Ward-08,Water Supply,No water supply for 3 days,Resolved,Walk-In,High,25,4.0,16.0,2025,4,Apr 2025,14,Tuesday,2025-04-01,False,Water Supply,33.333333333333336,
GRV-1107,2025-07-08,,Ward-16,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Mobile App,Medium,46,,,2025,7,Jul 2025,28,Tuesday,2025-07-08,True,Sewage & Drainage,51.28205128205128,266.0
GRV-1108,2024-11-20,2024-12-18,Ward-18,Waste Management,No waste bins available in the area,Resolved,Phone Call,Low,59,5.0,28.0,2024,11,Nov 2024,47,Wednesday,2024-11-20,False,Waste Management,9.157509157509159,
GRV-1109,2026-02-25,2026-03-11,Ward-06,Sewage & Drainage,Sewage overflowing onto road,Resolved,Phone Call,Low,51,2.0,14.0,2026,2,Feb 2026,9,Wednesday,2026-02-25,False,Road & Infrastructure,93.77289377289377,
GRV-1110,2024-12-12,,Ward-13,Water Supply,Dirty/contaminated water coming from tap,In Progress,Website,Critical,46,,,2024,12,Dec 2024,50,Thursday,2024-12-12,True,Water Supply,13.186813186813184,474.0
GRV-1111,2024-11-17,,Ward-08,Waste Management,Garbage not collected for a week,In Progress,Mobile App,Medium,46,,,2024,11,Nov 2024,46,Sunday,2024-11-17,True,Waste Management,8.608058608058611,499.0
GRV-1112,2025-06-10,2025-07-04,Ward-19,Road & Infrastructure,Road construction debris not cleared,Resolved,Mobile App,Medium,39,4.0,24.0,2025,6,Jun 2025,24,Tuesday,2025-06-10,False,Road & Infrastructure,46.15384615384615,
GRV-1113,2024-12-17,,Ward-11,Street Lighting,Electric pole fallen on road – dangerous,Open,Mobile App,High,31,,,2024,12,Dec 2024,51,Tuesday,2024-12-17,True,Road & Infrastructure,14.102564102564108,469.0
GRV-1114,2024-10-07,,Ward-12,Noise & Pollution,Loud music from nearby event venue,Open,Website,High,60,,,2024,10,Oct 2024,41,Monday,2024-10-07,True,Other,1.098901098901095,540.0
GRV-1115,2025-07-01,2025-07-16,Ward-09,Street Lighting,Frequent power fluctuation in area,Resolved,WhatsApp,High,42,4.0,15.0,2025,7,Jul 2025,27,Tuesday,2025-07-01,False,Street Lighting,50.0,
GRV-1116,2024-11-08,,Ward-19,Sewage & Drainage,Manhole cover missing – safety hazard,In Progress,Phone Call,Medium,43,,,2024,11,Nov 2024,45,Friday,2024-11-08,True,Sewage & Drainage,6.959706959706957,508.0
GRV-1117,2025-02-22,,Ward-15,Waste Management,Garbage not collected for a week,Open,Walk-In,High,27,,,2025,2,Feb 2025,8,Saturday,2025-02-22,True,Waste Management,26.37362637362637,402.0
GRV-1118,2025-02-23,2025-02-25,Ward-11,Sewage & Drainage,Sewage mixing with drinking water pipeline,Resolved,Mobile App,Medium,64,1.0,2.0,2025,2,Feb 2025,8,Sunday,2025-02-23,False,Water Supply,26.55677655677655,
GRV-1119,2025-11-29,,Ward-12,Road & Infrastructure,Road completely waterlogged after rain,In Progress,Phone Call,Medium,51,,,2025,11,Nov 2025,48,Saturday,2025-11-29,True,Water Supply,77.65567765567766,122.0
